repo_fullname,issue_url,created_date,close_date,created_by,closed_by,num_of_comments,num_of_collabos,coding_agent_usage,fixer_experience,coding_agent_bin,comments/collaborators,open-close,time_to_close,hours_to_close
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/11618,2025-07-23T17:50:27Z,2025-07-24T22:15:46Z,FurkanGozukara,abidlabs,3,2,FALSE,"18,655",0,1.5,0,1 days 04:25:19,28.42194444
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10729,2025-03-05T03:37:45Z,2025-03-07T14:37:54Z,Mywifi,abidlabs,2,2,FALSE,"18,057",0,1,0,2 days 11:00:09,59.0025
huggingface/smolagents,https://github.com/huggingface/smolagents/issues/1268,2025-04-30T04:16:07Z,2025-05-07T12:35:23Z,Arseni1919,albertvillanova,8,5,FALSE,"12,378",0,1.6,0,7 days 08:19:16,176.3211111
oraios/serena,https://github.com/oraios/serena/issues/216,2025-06-22T10:49:57Z,2025-06-23T11:15:39Z,VishalJ99,VishalJ99,3,2,FALSE,519,0,1.5,1,1 days 00:25:42,24.42833333
mvilanova/intervals-mcp-server,https://github.com/mvilanova/intervals-mcp-server/issues/40,2025-06-06T20:20:38Z,2025-06-10T16:15:35Z,gcowan2,mvilanova,4,2,FALSE,"3,020",0,2,0,3 days 19:54:57,91.91583333
dagster-io/dagster,https://github.com/dagster-io/dagster/issues/28681,2025-03-23T23:26:44Z,2025-05-16T18:00:04Z,nixent,yuhan,0,2,FALSE,"7,141",0,0,0,53 days 18:33:20,1290.555556
dagster-io/dagster,https://github.com/dagster-io/dagster/issues/27497,2025-02-02T21:12:57Z,2025-02-19T23:36:40Z,genert,garethbrickman,1,3,FALSE,"3,203",0,0.3333333333,0,17 days 02:23:43,410.3952778
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/9650,2024-10-10T14:58:36Z,2024-10-16T05:13:35Z,apolinario,abidlabs,1,2,FALSE,"17,290",0,0.5,0,5 days 14:14:59,134.2497222
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10682,2025-02-26T09:12:20Z,2025-02-27T17:59:49Z,hysts,abidlabs,0,2,FALSE,"18,033",0,0,0,1 days 08:47:29,32.79138889
dagster-io/dagster,https://github.com/dagster-io/dagster/issues/26434,2024-12-12T05:46:38Z,2025-01-09T14:10:03Z,srggrs,garethbrickman,1,3,FALSE,"3,187",0,0.3333333333,0,28 days 08:23:25,680.3902778
huggingface/smolagents,https://github.com/huggingface/smolagents/issues/1071,2025-03-25T10:58:52Z,2025-03-28T10:40:40Z,AzzzGoodFish,albertvillanova,2,3,FALSE,"12,058",0,0.6666666667,0,2 days 23:41:48,71.69666667
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10378,2025-01-16T20:46:06Z,2025-01-21T16:23:47Z,ericwu09,freddyaboulton,7,3,FALSE,"7,465",0,2.333333333,0,4 days 19:37:41,115.6280556
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10592,2025-02-14T08:34:55Z,2025-02-21T02:45:22Z,Dazidingo,Dazidingo,5,3,FALSE,0,0,1.666666667,1,6 days 18:10:27,162.1741667
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/464,2025-01-16T09:33:29Z,2025-01-16T13:47:59Z,Wadehl,unclecode,3,3,FALSE,"24,173",0,1,0,0 days 04:14:30,4.241666667
